call_index,mission_time_s,nmpc_solve_time_ms,pid50_solve_time_ms,pid5_solve_time_ms
590,118.000,13.2032,0.0208,0.0214
591,118.200,13.1945,0.0213,0.0217
592,118.400,13.1823,0.0209,0.0356
593,118.600,12.1654,0.0211,0.0390
594,118.800,13.4246,0.0209,0.0232
595,119.000,13.3127,0.0210,0.0226
596,119.200,13.6144,0.0212,0.0241
597,119.400,13.2244,0.0213,0.0784
598,119.600,12.7021,0.0328,0.0222
599,119.800,12.1442,0.0212,0.0217
600,120.000,13.0310,0.0214,0.0216
601,120.200,13.5123,0.0209,0.0220
602,120.400,13.0333,0.0210,0.0216
603,120.600,12.8956,0.0209,0.0218
604,120.800,13.0663,0.0211,0.0217
605,121.000,13.4648,0.0208,0.0215
606,121.200,13.6863,0.0208,0.0285
607,121.400,12.9430,0.0209,0.0346
608,121.600,11.8376,0.0234,0.0226
609,121.800,13.9832,0.0240,0.0220
610,122.000,14.5905,0.0209,0.0220
611,122.200,14.1878,0.0213,0.0214
612,122.400,15.5985,0.0209,0.0217
613,122.600,14.1496,0.0209,0.0216
614,122.800,14.0919,0.0210,0.0213
615,123.000,12.3786,0.0219,0.0215
616,123.200,11.7062,0.0208,0.0214
617,123.400,14.3410,0.0208,0.0388
618,123.600,14.3158,0.0315,0.0375
619,123.800,13.2958,0.0300,0.0220
620,124.000,13.2645,0.0210,0.0222
621,124.200,12.8613,0.0209,0.0220
622,124.400,12.2285,0.0213,0.0217
623,124.600,12.1444,0.0211,0.0217
624,124.800,12.2433,0.0220,0.0213
625,125.000,11.6954,0.0208,0.0214
626,125.200,11.5372,0.0210,0.0221
627,125.400,11.7509,0.0213,0.0213
628,125.600,13.0225,0.0215,0.0370
629,125.800,14.0062,0.0261,0.0435
630,126.000,13.8751,0.0249,0.0228
631,126.200,14.2418,0.0213,0.0223
632,126.400,12.5087,0.0210,0.0222
633,126.600,12.7440,0.0211,0.0227
634,126.800,12.5921,0.0210,0.0218
635,127.000,12.6066,0.0215,0.0216
636,127.200,12.8488,0.0208,0.0213
637,127.400,12.3349,0.0208,0.0214
638,127.600,11.7571,0.0212,0.0213
